species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Pelophylax grafi;NA;Pelophylax;Amphibia;Near Threatened;NT;not_threatened
Pelophylax hispanicus;NA;Pelophylax lessonae;Amphibia;Least Concern;LC;not_threatened
Atylodes genei;3.92;Speleomantes genei;Amphibia;Vulnerable;VU;threatened
Bombina pachypus;NA;Bombina variegata;Amphibia;Least Concern;LC;not_threatened
Discoglossus jeanneae;NA;Discoglossus galganoi;Amphibia;Least Concern;LC;not_threatened
Mesotriton alpestris;NA;Ichthyosaura alpestris;Amphibia;Least Concern;LC;not_threatened
Pelophylax esculentus;NA;Pelophylax lessonae;Amphibia;Least Concern;LC;not_threatened
Pseudepidalea balearica;NA;Bufotes balearicus;Amphibia;Least Concern;LC;not_threatened
Pseudepidalea boulengeri;NA;Bufotes boulengeri;Amphibia;Least Concern;LC;not_threatened
Pseudepidalea sicula;NA;Bufotes siculus;Amphibia;Least Concern;LC;not_threatened
Pseudepidalea variabilis;NA;Bufotes viridis;Amphibia;Least Concern;LC;not_threatened
Pseudepidalea viridis;75.00;Bufotes viridis;Amphibia;Least Concern;LC;not_threatened
Alytes cisternasii;6.10;NA;Amphibia;Least Concern;LC;not_threatened
Alytes obstetricans;13.40;NA;Amphibia;Least Concern;LC;not_threatened
Bombina bombina;5.90;NA;Amphibia;Least Concern;LC;not_threatened
Bombina variegata;6.77;NA;Amphibia;Least Concern;LC;not_threatened
Bufo bufo;164.75;NA;Amphibia;Least Concern;LC;not_threatened
Calotriton asper;7.10;NA;Amphibia;Least Concern;LC;not_threatened
Discoglossus galganoi;21.80;NA;Amphibia;Least Concern;LC;not_threatened
Discoglossus pictus;22.05;NA;Amphibia;Least Concern;LC;not_threatened
Discoglossus sardus;NA;Discoglossus sardus;Amphibia;Least Concern;LC;not_threatened
Epidalea calamita;62.70;NA;Amphibia;Least Concern;LC;not_threatened
Euproctus montanus;2.50;NA;Amphibia;Least Concern;LC;not_threatened
Hyla arborea;9.50;NA;Amphibia;Least Concern;LC;not_threatened
Hyla intermedia;6.27;NA;Amphibia;Least Concern;LC;not_threatened
Hyla meridionalis;3.11;NA;Amphibia;Least Concern;LC;not_threatened
Hyla sarda;4.00;NA;Amphibia;Least Concern;LC;not_threatened
Hyla savignyi;NA;Hyla savignyi;Amphibia;Least Concern;LC;not_threatened
Lissotriton boscai;1.77;NA;Amphibia;Least Concern;LC;not_threatened
Lissotriton helveticus;1.80;NA;Amphibia;Least Concern;LC;not_threatened
Lissotriton italicus;0.98;NA;Amphibia;Least Concern;LC;not_threatened
Lissotriton montandoni;2.60;NA;Amphibia;Least Concern;LC;not_threatened
Lissotriton vulgaris;3.10;NA;Amphibia;Least Concern;LC;not_threatened
Ommatotriton vittatus;8.10;NA;Amphibia;Least Concern;LC;not_threatened
Pelobates fuscus;29.40;NA;Amphibia;Least Concern;LC;not_threatened
Pelobates syriacus;NA;Pelobates syriacus;Amphibia;Least Concern;LC;not_threatened
Pelodytes ibericus;4.87;NA;Amphibia;Least Concern;LC;not_threatened
Pelodytes punctatus;3.03;NA;Amphibia;Least Concern;LC;not_threatened
Pelophylax bedriagae;NA;Pelophylax bedriagae;Amphibia;Least Concern;LC;not_threatened
Pelophylax bergeri;NA;Pelophylax bergeri;Amphibia;Least Concern;LC;not_threatened
Pelophylax kurtmuelleri;NA;Pelophylax kurtmuelleri;Amphibia;Least Concern;LC;not_threatened
Pelophylax lessonae;75.40;NA;Amphibia;Least Concern;LC;not_threatened
Pelophylax perezi;31.80;NA;Amphibia;Least Concern;LC;not_threatened
Pelophylax ridibundus;75.40;NA;Amphibia;Least Concern;LC;not_threatened
Rana arvalis;10.80;NA;Amphibia;Least Concern;LC;not_threatened
Rana dalmatina;31.90;NA;Amphibia;Least Concern;LC;not_threatened
Rana graeca;NA;Rana graeca;Amphibia;Least Concern;LC;not_threatened
Rana italica;NA;Rana italica;Amphibia;Least Concern;LC;not_threatened
Rana macrocnemis;11.30;NA;Amphibia;Least Concern;LC;not_threatened
Rana temporaria;47.60;NA;Amphibia;Least Concern;LC;not_threatened
Salamandra atra;8.20;NA;Amphibia;Least Concern;LC;not_threatened
Salamandra corsica;NA;Salamandra corsica;Amphibia;Least Concern;LC;not_threatened
Salamandra salamandra;35.80;NA;Amphibia;Least Concern;LC;not_threatened
Salamandrella keyserlingii;6.90;NA;Amphibia;Least Concern;LC;not_threatened
Salamandrina terdigitata;NA;Salamandra terdigitata;Amphibia;Least Concern;LC;not_threatened
Triturus carnifex;18.40;NA;Amphibia;Least Concern;LC;not_threatened
Triturus cristatus;15.00;NA;Amphibia;Least Concern;LC;not_threatened
Triturus dobrogicus;9.40;NA;Amphibia;Least Concern;LC;not_threatened
Triturus karelinii;10.50;NA;Amphibia;Least Concern;LC;not_threatened
Triturus marmoratus;9.80;NA;Amphibia;Least Concern;LC;not_threatened
Bufo verrucosissimus;NA;Bufo verrucosissimus;Amphibia;Near Threatened;NT;not_threatened
Chioglossa lusitanica;4.20;NA;Amphibia;Near Threatened;NT;not_threatened
Discoglossus montalentii;NA;Discoglossus montalentii;Amphibia;Near Threatened;NT;not_threatened
Ommatotriton ophryticus;NA;Ommatotriton ophryticus;Amphibia;Near Threatened;NT;not_threatened
Pelodytes caucasicus;NA;Pelodytes caucasicus;Amphibia;Near Threatened;NT;not_threatened
Pelophylax caralitanus;135.00;NA;Amphibia;Near Threatened;NT;not_threatened
Pelophylax epeiroticus;59.02;NA;Amphibia;Near Threatened;NT;not_threatened
Pleurodeles waltl;25.80;NA;Amphibia;Near Threatened;NT;not_threatened
Salamandra infraimmaculata;125.00;NA;Amphibia;Near Threatened;NT;not_threatened
Speleomantes imperialis;3.92;NA;Amphibia;Near Threatened;NT;not_threatened
Triturus pygmaeus;NA;Triturus pygmaeus;Amphibia;Near Threatened;NT;not_threatened
Calotriton arnoldi;NA;Calotriton arnoldi;Amphibia;Critically Endangered;CE;threatened
Pelophylax cerigensis;NA;Pelophylax cerigensis;Amphibia;Critically Endangered;CE;threatened
Salamandra lanzai;19.30;NA;Amphibia;Critically Endangered;CE;threatened
Speleomantes ambrosii;2.26;NA;Amphibia;Critically Endangered;CE;threatened
Speleomantes sarrabusensis;NA;Speleomantes sarrabusensis;Amphibia;Critically Endangered;CE;threatened
Lyciasalamandra billae;NA;Lyciasalamandra billae;Amphibia;Endangered;EN;threatened
Alytes dickhilleni;NA;Alytes dickhilleni;Amphibia;Endangered;EN;threatened
Alytes muletensis;2.31;NA;Amphibia;Endangered;EN;threatened
Lyciasalamandra antalyana;NA;Lyciasalamandra antalyana;Amphibia;Endangered;EN;threatened
Lyciasalamandra atifi;NA;Lyciasalamandra atifi;Amphibia;Endangered;EN;threatened
Lyciasalamandra fazilae;NA;Lyciasalamandra fazilae;Amphibia;Endangered;EN;threatened
Lyciasalamandra flavimembris;NA;Lyciasalamandra flavimembris;Amphibia;Endangered;EN;threatened
Rana pyrenaica;NA;Rana pyrenaica;Amphibia;Endangered;EN;threatened
Rana tavasensis;NA;Rana tavasensis;Amphibia;Endangered;EN;threatened
Salamandrina perspicillata;NA;Salamandrina perspicillata;Amphibia;Endangered;EN;threatened
Speleomantes flavus;NA;Speleomantes flavus;Amphibia;Endangered;EN;threatened
Speleomantes italicus;2.88;NA;Amphibia;Endangered;EN;threatened
Speleomantes strinatii;NA;Speleomantes strinatii;Amphibia;Endangered;EN;threatened
Speleomantes supramontis;5.08;NA;Amphibia;Endangered;EN;threatened
Euproctus platycephalus;5.10;NA;Amphibia;Vulnerable;VU;threatened
Lyciasalamandra helverseni;NA;Lyciasalamandra helverseni;Amphibia;Vulnerable;VU;threatened
Lyciasalamandra luschani;7.80;NA;Amphibia;Vulnerable;VU;threatened
Mertensiella caucasica;9.80;NA;Amphibia;Vulnerable;VU;threatened
Neurergus crocatus;13.40;NA;Amphibia;Vulnerable;VU;threatened
Neurergus strauchii;NA;Neurergus strauchii;Amphibia;Vulnerable;VU;threatened
Pelobates cultripes;40.00;NA;Amphibia;Vulnerable;VU;threatened
Pelophylax cretensis;NA;Pelophylax cretensis;Amphibia;Vulnerable;VU;threatened
Proteus anguinus;17.00;NA;Amphibia;Vulnerable;VU;threatened
Rana iberica;10.60;NA;Amphibia;Vulnerable;VU;threatened
Rana latastei;18.70;NA;Amphibia;Vulnerable;VU;threatened
Triturus macedonicus;NA;Triturus macedonicus;Amphibia;Vulnerable;VU;threatened
Carduelis hornemanni;15.20;Acanthis flammea, Acanthis hornemanni, Carduelis flammea;Aves;Least Concern;LC;not_threatened
Aquila pomarina;1359.41;Clanga pomarina;Aves;Least Concern;LC;not_threatened
Carduelis cannabina;19.53;Linaria cannabina;Aves;Least Concern;LC;not_threatened
Chettusia leucura;NA;Vanellus leucurus;Aves;Least Concern;LC;not_threatened
Tetrao mlokosiewiczi;813.99;Lyrurus mlokosiewiczi;Aves;Near Threatened;NT;not_threatened
Sylvia undata;10.80;Curruca undata;Aves;Near Threatened;NT;not_threatened
Aquila clanga;2154.29;Clanga clanga;Aves;Vulnerable;VU;threatened
Nyctea scandiaca;NA;Bubo scandiacus;Aves;Vulnerable;VU;threatened
Oceanodroma leucorhoa;36.71;Hydrobates leucorhous;Aves;Vulnerable;VU;threatened
Anas clypeata;612.56;Spatula clypeata;Aves;Least Concern;LC;not_threatened
Anas penelope;770.03;Mareca penelope;Aves;Least Concern;LC;not_threatened
Anas querquedula;325.60;Spatula querquedula;Aves;Least Concern;LC;not_threatened
Anas strepera;915.58;Mareca strepera;Aves;Least Concern;LC;not_threatened
Apus melba;NA;Tachymarptis melba;Aves;Least Concern;LC;not_threatened
Bonasa bonasia;429.00;Tetrastes bonasia;Aves;Least Concern;LC;not_threatened
Calandrella cheleensis;22.20;Alaudala cheleensis;Aves;Least Concern;LC;not_threatened
Calandrella rufescens;24.10;Alaudala rufescens;Aves;Least Concern;LC;not_threatened
Carduelis chloris;26.00;Chloris chloris;Aves;Least Concern;LC;not_threatened
Carduelis flammea;13.00;Acanthis flammea;Aves;Least Concern;LC;not_threatened
Carduelis flavirostris;15.40;Linaria flavirostris;Aves;Least Concern;LC;not_threatened
Carduelis spinus;13.24;Spinus spinus;Aves;Least Concern;LC;not_threatened
Charadrius morinellus;108.50;Eudromias morinellus;Aves;Least Concern;LC;not_threatened
Dendrocopos medius;59.00;Leiopicus medius;Aves;Least Concern;LC;not_threatened
Dendrocopos minor;19.80;Dryobates minor;Aves;Least Concern;LC;not_threatened
Egretta alba;NA;Ardea alba;Aves;Least Concern;LC;not_threatened
Hieraaetus fasciatus;NA;Aquila fasciata;Aves;Least Concern;LC;not_threatened
Hippolais caligata;8.90;Iduna caligata;Aves;Least Concern;LC;not_threatened
Hippolais pallida;9.00;Iduna pallida;Aves;Least Concern;LC;not_threatened
Hirundo daurica;22.20;Cecropis daurica;Aves;Least Concern;LC;not_threatened
Hoplopterus indicus;NA;Vanellus indicus;Aves;Least Concern;LC;not_threatened
Hoplopterus spinosus;NA;Vanellus spinosus;Aves;Least Concern;LC;not_threatened
Larus minutus;118.00;Hydrocoloeus minutus;Aves;Least Concern;LC;not_threatened
Larus sabini;NA;Xema sabini;Aves;Least Concern;LC;not_threatened
Limicola falcinellus;37.10;Calidris falcinellus;Aves;Least Concern;LC;not_threatened
Luscinia calliope;18.50;Calliope calliope;Aves;Least Concern;LC;not_threatened
Melanocorypha leucoptera;45.30;Alauda leucoptera;Aves;Least Concern;LC;not_threatened
Miliaria calandra;48.50;Emberiza calandra;Aves;Least Concern;LC;not_threatened
Parus ater;9.20;Periparus ater;Aves;Least Concern;LC;not_threatened
Parus caeruleus;13.30;Cyanistes caeruleus;Aves;Least Concern;LC;not_threatened
Parus cinctus;11.40;Poecile cinctus;Aves;Least Concern;LC;not_threatened
Parus cristatus;11.04;Lophophanes cristatus;Aves;Least Concern;LC;not_threatened
Parus cyanus;14.62;Cyanistes cyanus;Aves;Least Concern;LC;not_threatened
Parus lugubris;15.80;Poecile lugubris;Aves;Least Concern;LC;not_threatened
Parus montanus;11.10;Poecile montanus;Aves;Least Concern;LC;not_threatened
Parus palustris;11.14;Poecile palustris;Aves;Least Concern;LC;not_threatened
Petronia brachydactyla;22.30;Carpospiza brachydactyla;Aves;Least Concern;LC;not_threatened
Phalacrocorax aristotelis;1764.34;Gulosus aristotelis;Aves;Least Concern;LC;not_threatened
Phalacrocorax pygmaeus;NA;Microcarbo pygmaeus;Aves;Least Concern;LC;not_threatened
Philomachus pugnax;131.68;Calidris pugnax;Aves;Least Concern;LC;not_threatened
Porzana parva;49.70;Zapornia parva;Aves;Least Concern;LC;not_threatened
Porzana pusilla;35.40;Zapornia pusilla;Aves;Least Concern;LC;not_threatened
